origen,destino,distancia_km,factor_trafico,peso,peso_h00,peso_h01,peso_h02,peso_h03,peso_h04,peso_h05,peso_h06,peso_h07,peso_h08,peso_h09,peso_h10,peso_h11,peso_h12,peso_h13,peso_h14,peso_h15,peso_h16,peso_h17,peso_h18,peso_h19,peso_h20,peso_h21,peso_h22,peso_h23
V57_1,V57_2,0.209,1.0,0.209,0.251,0.251,0.23,0.23,0.272,0.314,0.377,0.418,0.418,0.377,0.314,0.293,0.314,0.335,0.356,0.397,0.418,0.418,0.397,0.356,0.314,0.293,0.272,0.251
V58_0,V58_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V58_1,V58_2,0.096,1.0,0.096,0.115,0.115,0.105,0.105,0.125,0.144,0.172,0.192,0.192,0.172,0.144,0.134,0.144,0.153,0.163,0.182,0.192,0.192,0.182,0.163,0.144,0.134,0.125,0.115
V59_0,V59_1,0.098,1.0,0.098,0.117,0.117,0.108,0.108,0.127,0.147,0.176,0.196,0.196,0.176,0.147,0.137,0.147,0.157,0.166,0.186,0.196,0.196,0.186,0.166,0.147,0.137,0.127,0.117
V59_1,V59_2,0.272,1.0,0.272,0.326,0.326,0.299,0.299,0.353,0.407,0.489,0.543,0.543,0.489,0.407,0.38,0.407,0.435,0.462,0.516,0.543,0.543,0.516,0.462,0.407,0.38,0.353,0.326
V60_0,V60_1,0.022,1.0,0.022,0.022,0.022,0.022,0.022,0.022,0.024,0.026,0.028,0.028,0.026,0.024,0.024,0.024,0.026,0.026,0.028,0.031,0.033,0.031,0.028,0.026,0.024,0.022,0.022
V60_1,V60_2,0.022,1.0,0.022,0.022,0.022,0.022,0.022,0.022,0.024,0.026,0.029,0.029,0.026,0.024,0.024,0.024,0.026,0.026,0.029,0.031,0.033,0.031,0.029,0.026,0.024,0.022,0.022
V61_0,V61_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V61_1,V61_2,0.045,1.0,0.045,0.054,0.054,0.049,0.049,0.058,0.067,0.08,0.089,0.089,0.08,0.067,0.062,0.067,0.071,0.076,0.085,0.089,0.089,0.085,0.076,0.067,0.062,0.058,0.054
V62_0,V62_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V62_1,V62_2,0.035,1.0,0.035,0.035,0.035,0.035,0.035,0.039,0.042,0.049,0.056,0.053,0.046,0.042,0.039,0.042,0.046,0.049,0.053,0.06,0.063,0.056,0.049,0.042,0.039,0.039,0.035
V63_0,V63_1,0.044,1.0,0.044,0.044,0.044,0.044,0.044,0.048,0.052,0.061,0.07,0.066,0.057,0.052,0.048,0.052,0.057,0.061,0.066,0.074,0.079,0.07,0.061,0.052,0.048,0.048,0.044
V63_1,V63_2,0.105,1.0,0.105,0.105,0.105,0.105,0.105,0.116,0.126,0.147,0.168,0.158,0.137,0.126,0.116,0.126,0.137,0.147,0.158,0.179,0.189,0.168,0.147,0.126,0.116,0.116,0.105
V64_0,V64_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V64_1,V64_2,0.026,1.0,0.026,0.026,0.026,0.026,0.026,0.026,0.029,0.032,0.034,0.034,0.032,0.029,0.029,0.029,0.032,0.032,0.034,0.037,0.04,0.037,0.034,0.032,0.029,0.026,0.026
V65_0,V65_1,0.153,1.0,0.153,0.153,0.153,0.153,0.153,0.153,0.168,0.184,0.199,0.199,0.184,0.168,0.168,0.168,0.184,0.184,0.199,0.214,0.229,0.214,0.199,0.184,0.168,0.153,0.153
V65_1,V65_2,0.039,1.0,0.039,0.039,0.039,0.039,0.039,0.039,0.043,0.047,0.051,0.051,0.047,0.043,0.043,0.043,0.047,0.047,0.051,0.055,0.059,0.055,0.051,0.047,0.043,0.039,0.039
V66_0,V66_1,0.051,1.0,0.051,0.051,0.051,0.051,0.051,0.051,0.057,0.062,0.067,0.067,0.062,0.057,0.057,0.057,0.062,0.062,0.067,0.072,0.077,0.072,0.067,0.062,0.057,0.051,0.051
V66_1,V66_2,0.104,1.0,0.104,0.104,0.104,0.104,0.104,0.104,0.115,0.125,0.136,0.136,0.125,0.115,0.115,0.115,0.125,0.125,0.136,0.146,0.156,0.146,0.136,0.125,0.115,0.104,0.104
V67_0,V67_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V67_1,V67_2,0.107,1.0,0.107,0.107,0.107,0.107,0.107,0.107,0.117,0.128,0.139,0.139,0.128,0.117,0.117,0.117,0.128,0.128,0.139,0.149,0.16,0.149,0.139,0.128,0.117,0.107,0.107
V68_0,V68_1,0.227,1.0,0.227,0.272,0.272,0.25,0.25,0.295,0.34,0.409,0.454,0.454,0.409,0.34,0.318,0.34,0.363,0.386,0.431,0.454,0.454,0.431,0.386,0.34,0.318,0.295,0.272
V68_1,V68_2,0.302,1.0,0.302,0.362,0.362,0.332,0.332,0.392,0.452,0.543,0.603,0.603,0.543,0.452,0.422,0.452,0.483,0.513,0.573,0.603,0.603,0.573,0.513,0.452,0.422,0.392,0.362
V69_0,V69_1,0.297,1.0,0.297,0.297,0.297,0.297,0.297,0.297,0.327,0.357,0.387,0.387,0.357,0.327,0.327,0.327,0.357,0.357,0.387,0.416,0.446,0.416,0.387,0.357,0.327,0.297,0.297
V69_1,V69_2,0.355,1.0,0.355,0.355,0.355,0.355,0.355,0.355,0.391,0.426,0.462,0.462,0.426,0.391,0.391,0.391,0.426,0.426,0.462,0.497,0.533,0.497,0.462,0.426,0.391,0.355,0.355
V70_0,V70_1,0.011,1.0,0.011,0.011,0.011,0.011,0.011,0.011,0.012,0.013,0.014,0.014,0.013,0.012,0.012,0.012,0.013,0.013,0.014,0.016,0.017,0.016,0.014,0.013,0.012,0.011,0.011
V70_1,V70_2,0.009,1.0,0.009,0.009,0.009,0.009,0.009,0.009,0.01,0.011,0.012,0.012,0.011,0.01,0.01,0.01,0.011,0.011,0.012,0.013,0.014,0.013,0.012,0.011,0.01,0.009,0.009
V71_0,V71_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V71_1,V71_2,0.01,1.0,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.012,0.013,0.013,0.012,0.011,0.011,0.011,0.012,0.012,0.013,0.014,0.015,0.014,0.013,0.012,0.011,0.01,0.01
V72_0,V72_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V72_1,V72_2,0.013,1.0,0.013,0.013,0.013,0.013,0.013,0.013,0.014,0.016,0.017,0.017,0.016,0.014,0.014,0.014,0.016,0.016,0.017,0.018,0.019,0.018,0.017,0.016,0.014,0.013,0.013
V73_0,V73_1,0.059,1.0,0.059,0.059,0.059,0.059,0.059,0.065,0.071,0.083,0.095,0.089,0.077,0.071,0.065,0.071,0.077,0.083,0.089,0.101,0.107,0.095,0.083,0.071,0.065,0.065,0.059
V73_1,V73_2,0.071,1.0,0.071,0.071,0.071,0.071,0.071,0.078,0.085,0.1,0.114,0.107,0.092,0.085,0.078,0.085,0.092,0.1,0.107,0.121,0.128,0.114,0.1,0.085,0.078,0.078,0.071
V74_0,V74_1,1.547,1.0,1.547,1.856,1.856,1.702,1.702,2.011,2.321,2.785,3.094,3.094,2.785,2.321,2.166,2.321,2.475,2.63,2.939,3.094,3.094,2.939,2.63,2.321,2.166,2.011,1.856
V74_1,V74_2,1.493,1.0,1.493,1.791,1.791,1.642,1.642,1.94,2.239,2.687,2.985,2.985,2.687,2.239,2.09,2.239,2.388,2.537,2.836,2.985,2.985,2.836,2.537,2.239,2.09,1.94,1.791
V75_0,V75_1,0.114,1.0,0.114,0.114,0.114,0.114,0.114,0.114,0.126,0.137,0.149,0.149,0.137,0.126,0.126,0.126,0.137,0.137,0.149,0.16,0.171,0.16,0.149,0.137,0.126,0.114,0.114
V75_1,V75_2,0.083,1.0,0.083,0.083,0.083,0.083,0.083,0.083,0.091,0.099,0.107,0.107,0.099,0.091,0.091,0.091,0.099,0.099,0.107,0.116,0.124,0.116,0.107,0.099,0.091,0.083,0.083
V76_0,V76_1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V76_1,V76_2,0.007,1.0,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.01,0.01,0.01,0.009,0.008,0.008,0.007,0.007
V77_0,V77_1,0.074,1.0,0.074,0.074,0.074,0.074,0.074,0.082,0.089,0.104,0.119,0.111,0.096,0.089,0.082,0.089,0.096,0.104,0.111,0.126,0.133,0.119,0.104,0.089,0.082,0.082,0.074
V77_1,V77_2,0.041,1.0,0.041,0.041,0.041,0.041,0.041,0.045,0.049,0.057,0.065,0.061,0.053,0.049,0.045,0.049,0.053,0.057,0.061,0.069,0.073,0.065,0.057,0.049,0.045,0.045,0.041
V78_0,V78_1,0.105,1.0,0.105,0.105,0.105,0.105,0.105,0.115,0.126,0.146,0.167,0.157,0.136,0.126,0.115,0.126,0.136,0.146,0.157,0.178,0.188,0.167,0.146,0.126,0.115,0.115,0.105
V78_1,V78_2,0.158,1.0,0.158,0.158,0.158,0.158,0.158,0.174,0.19,0.222,0.253,0.238,0.206,0.19,0.174,0.19,0.206,0.222,0.238,0.269,0.285,0.253,0.222,0.19,0.174,0.174,0.158
V79_0,V79_1,0.092,1.0,0.092,0.092,0.092,0.092,0.092,0.101,0.11,0.129,0.147,0.138,0.119,0.11,0.101,0.11,0.119,0.129,0.138,0.156,0.165,0.147,0.129,0.11,0.101,0.101,0.092
V79_1,V79_2,0.043,1.0,0.043,0.043,0.043,0.043,0.043,0.048,0.052,0.061,0.069,0.065,0.056,0.052,0.048,0.052,0.056,0.061,0.065,0.074,0.078,0.069,0.061,0.052,0.048,0.048,0.043
